Athens,Sydney,Moscow,Casablanca,San Fransisco,New York,Toronto,Addis Ababa,Helsinki,Tokyo,Ha Noi,Abu Dhabi,Bangkok,Paris,Victoria,Lima,Mexico City,Beijing,Cairo,Buenos Aires,Santiago,Caracas
Athens,0,15322,2234,2862,10932,7947,8118,3540,2471,9528,7933,3257,7934,2102,5738,11765,11303,7635,1117,11689,12545,9355,
Sydney,15322,0,14482,18066,11935,15988,15562,12640,15188,7790,7746,12083,7518,16957,10259,12819,12973,8917,14414,11816,11370,15364,
Moscow,2234,14482,0,4238,9469,7531,7503,5184,894,7497,6741,3733,7070,2494,6887,12640,10738,5808,2901,13473,14117,9939,
Casablanca,2862,18066,4238,0,9629,5811,6155,5461,3782,11619,10734,6033,10792,1886,7850,8906,8979,10046,3677,9235,9923,6532,
San Fransisco,10932,11935,9469,9629,0,4139,3649,14468,8747,8291,11779,13107,12764,8976,16325,7265,3035,9527,12015,10367,9532,6291,
New York,7947,15988,7531,5811,4139,0,556,11219,6637,10874,13170,11039,13951,5852,13593,5848,3359,11015,9041,8483,8218,3422,
Toronto,8118,15562,7503,6155,3649,556,0,11489,6616,10367,12818,11110,13646,6015,13831,6176,3261,10610,9227,8920,8589,3875,
Addis Ababa,3540,12640,5184,5461,14468,11219,11489,0,5790,10407,7289,2381,6746,5566,2389,13011,14437,8320,2453,11252,12360,11517,
Helsinki,2471,15188,894,3782,8747,6637,6616,5790,0,7839,7501,4568,7895,1913,7660,11821,9860,6339,3381,12936,13463,9102,
Tokyo,9528,7790,7497,11619,8291,10874,10367,10407,7839,0,3669,8069,4604,9737,9790,15500,11325,2098,9585,18351,17240,14189,
Ha Noi,7933,7746,6741,10734,11779,13170,12818,7289,7501,3669,0,5271,985,9213,6186,18966,14776,2321,7439,17879,18585,16430,
Abu Dhabi,3257,12083,3733,6033,13107,11039,11110,2381,4568,8069,5271,0,4977,5246,3218,14737,14371,5972,2367,13551,14637,12565,
Bangkok,7934,7518,7070,10792,12764,13951,13646,6746,7895,4604,985,4977,0,9459,5375,19698,15760,3290,7282,16897,17647,16993,
Paris,2102,16957,2494,1886,8976,5852,6015,5566,1913,9737,9213,5246,9459,0,7832,10243,9211,8239,3213,11036,11626,7618,
Victoria,5738,10259,6887,7850,16325,13593,13831,2389,7660,9790,6186,3218,5375,7832,0,14460,16820,7927,4621,11891,12964,13644,
Lima,11765,12819,12640,8906,7265,5848,6176,13011,11821,15500,18966,14737,19698,10243,14460,0,4241,16650,12424,3111,2457,2732,
Mexico City,11303,12973,10738,8979,3035,3359,3261,14437,9860,11325,14776,14371,15760,9211,16820,4241,0,12479,12388,7352,6586,3603,
Beijing,7635,8917,5808,10046,9527,11015,10610,8320,6339,2098,2321,5972,3290,8239,7927,16650,12479,0,7560,19275,19060,14416,
Cairo,1117,14414,2901,3677,12015,9041,9227,2453,3381,9585,7439,2367,7282,3213,4621,12424,12388,7560,0,11824,12796,10203,
Buenos Aires,11689,11816,13473,9235,10367,8483,8920,11252,12936,18351,17879,13551,16897,11036,11891,3111,7352,19275,11824,0,1114,5061,
Santiago,12545,11370,14117,9923,9532,8218,8589,12360,13463,17240,18585,14637,17647,11626,12964,2457,6586,19060,12796,1114,0,4878,
Caracas,9355,15364,9939,6532,6291,3422,3875,11517,9102,14189,16430,12565,16993,7618,13644,2732,3603,14416,10203,5061,4878,0,
